dataSetId	FileName	Clade	SpeciesFull	SpeciesShort	Abbreviation	Assembly	SeqType	CellTissue	Treatment	MainAccession	SubAccession	SRPaccession	SRAaccession	CitationForShort	Citation	PubMedID	Title
DEATH0009	ddm1-2_inflorescence_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, ddm1-2 mutant	GSE52342	GSM1263709	SRP033352	SRX384363	Creasey KM, et al. Nature 2014	Creasey KM, Zhai J, Borges F, Van Ex F et al. miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis. Nature 2014 Apr 17;508(7496):411-5.	24670663	miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis
DEATH0010	rdr6-15_inflorescence_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, rdr6-15 mutant	GSE52342	GSM1263710	SRP033352	SRX384364	Creasey KM, et al. Nature 2014	Creasey KM, Zhai J, Borges F, Van Ex F et al. miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis. Nature 2014 Apr 17;508(7496):411-5.	24670663	miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis
DEATH0011	ddm1-2_rdr6-15_inflorescence_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, ddm1-2 and rdr6-15 mutant	GSE52342	GSM1263711	SRP033352	SRX384365	Creasey KM, et al. Nature 2014	Creasey KM, Zhai J, Borges F, Van Ex F et al. miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis. Nature 2014 Apr 17;508(7496):411-5.	24670663	miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis
DEATH0012	Col-0_leaf_young_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	leaf	Col-0, young	GSE55151	GSM1330569	SRP038129	SRX472846	Thatcher SR, et al. Plant Cell Environ 2014	Thatcher SR, Burd S, Wright C, Lers A et al. Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs. Plant Cell Environ 2014 Jun 26.	24965556	Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs
DEATH0013	Col-0_leaf_mature_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	leaf	Col-0, mature	GSE55151	GSM1330570	SRP038129	SRX472847	Thatcher SR, et al. Plant Cell Environ 2014	Thatcher SR, Burd S, Wright C, Lers A et al. Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs. Plant Cell Environ 2014 Jun 26.	24965556	Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs
DEATH0014	Col-0_leaf_early_senescence_rep1_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	leaf	Col-0, early senescence, rep1	GSE55151	GSM1330571	SRP038129	SRX472848	Thatcher SR, et al. Plant Cell Environ 2014	Thatcher SR, Burd S, Wright C, Lers A et al. Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs. Plant Cell Environ 2014 Jun 26.	24965556	Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs
DEATH0015	Col-0_leaf_late_senescence_rep1_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	leaf	Col-0, late senescence, rep1	GSE55151	GSM1330572	SRP038129	SRX472849	Thatcher SR, et al. Plant Cell Environ 2014.	Thatcher SR, Burd S, Wright C, Lers A et al. Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs. Plant Cell Environ 2014 Jun 26.	24965556	Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs
DEATH0016	Col-0_leaf_early_senescence_rep2_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	leaf	Col-0, early senescence, rep2	GSE55151	GSM1330573	SRP038129	SRX472850	Thatcher SR, et al. Plant Cell Environ 2014	Thatcher SR, Burd S, Wright C, Lers A et al. Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs. Plant Cell Environ 2014 Jun 26.	24965556	Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs
DEATH0017	Col-0_leaf_late_senescence_rep2_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	leaf	Col-0, late senescence, rep2	GSE55151	GSM1330574	SRP038129	SRX472851	Thatcher SR, et al. Plant Cell Environ 2014	Thatcher SR, Burd S, Wright C, Lers A et al. Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs. Plant Cell Environ 2014 Jun 26.	24965556	Differential expression of miRNAs and their target genes in senescing leaves and siliques: insights from deep sequencing of small RNAs and cleaved target RNAs
DEBDI0001	Bd21_root_merge_miRNAsites_final.txt	monocots	Brachypodium distachyon	B. distachyon	bdi	Brachypodium_distachyon_v1.0	PARE	root	Bd21, untreated	GSE52441	GSM1266854	SRP033203	SRX380409	Jeong DH, et al. Genome Biol 2013	Jeong DH, Schmidt SA, Rymarquis LA, Park S et al. Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon. Genome Biol 2013 Dec 24;14(12):R145.	24367943	Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon
DEBDI0002	Bd21_leaf_merge_miRNAsites_final.txt	monocots	Brachypodium distachyon	B. distachyon	bdi	Brachypodium_distachyon_v1.0	PARE	leaf	Bd21, untreated	GSE52441	GSM1266855	SRP033203	SRX380410	Jeong DH, et al. Genome Biol 2013	Jeong DH, Schmidt SA, Rymarquis LA, Park S et al. Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon. Genome Biol 2013 Dec 24;14(12):R145.	24367943	Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon
DEBDI0003	Bd21_stem_merge_miRNAsites_final.txt	monocots	Brachypodium distachyon	B. distachyon	bdi	Brachypodium_distachyon_v1.0	PARE	stem	Bd21, untreated	GSE52441	GSM1266856	SRP033203	SRX380411	Jeong DH, et al. Genome Biol 2013	Jeong DH, Schmidt SA, Rymarquis LA, Park S et al. Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon. Genome Biol 2013 Dec 24;14(12):R145.	24367943	Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon
DEBDI0004	Bd21_panicle_merge_miRNAsites_final.txt	monocots	Brachypodium distachyon	B. distachyon	bdi	Brachypodium_distachyon_v1.0	PARE	panicle	Bd21, untreated	GSE52441	GSM1266857	SRP033203	SRX380412	Jeong DH, et al. Genome Biol 2013	Jeong DH, Schmidt SA, Rymarquis LA, Park S et al. Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon. Genome Biol 2013 Dec 24;14(12):R145.	24367943	Parallel analysis of RNA ends enhances global investigation of microRNAs and target RNAs of Brachypodium distachyon
DEBJU0001	MF_floral_bud_merge_miRNAsites_final.txt	eudicots	Brassica juncea	B. juncea	bju	IVFCAASv1	PARE	floral buds	maintainer fertile (MF)	GSE43244	GSM1059151	SRP032973	SRX213686	Yang J, et al. BMC Genomics 2013	Yang J, Liu X, Xu B, Zhao N et al. Identification of miRNAs and their targets using high-throughput sequencing and degradome analysis in cytoplasmic male-sterile and its maintainer fertile lines of Brassica juncea. BMC Genomics 2013 Jan 16;14:9.	23324572	Identification of miRNAs and their targets using high-throughput sequencing and degradome analysis in cytoplasmic male-sterile and its maintainer fertile lines of Brassica juncea
DEBJU0002	CMS_floral_bud_merge_miRNAsites_final.txt	eudicots	Brassica juncea	B. juncea	bju	IVFCAASv1	PARE	floral buds	cytoplasmic male sterile (CMS)	GSE43244	GSM1059152	SRP032973	SRX213687	Yang J, et al. BMC Genomics 2013	Yang J, Liu X, Xu B, Zhao N et al. Identification of miRNAs and their targets using high-throughput sequencing and degradome analysis in cytoplasmic male-sterile and its maintainer fertile lines of Brassica juncea. BMC Genomics 2013 Jan 16;14:9.	23324572	Identification of miRNAs and their targets using high-throughput sequencing and degradome analysis in cytoplasmic male-sterile and its maintainer fertile lines of Brassica juncea
DECEL0001	N2_wild_type_adult_0712_merge_miRNAsites_final.txt	nematode	Caenorhabditis elegans	worm	cel	ce11	PARE	whole organ	Wild-type (N2), adult stage, 12.03.2007	GSE44336	GSM1083459	SRP018765	SRX243620	Park JH, et al. FEBS Lett. 2013	Park JH, Ahn S, Kim S, Lee J, Nam JW, Shin C. Degradome sequencing reveals an endogenous microRNA target in C. elegans. FEBS Lett. 2013 Apr 2;587(7):964-9.	23485825	Degradome sequencing reveals an endogenous microRNA target in C. elegans
DECEL0002	N2_wild_type_adult_0801_merge_miRNAsites_final.txt	nematode	Caenorhabditis elegans	worm	cel	ce11	PARE	whole organ	Wild-type (N2), adult stage, 01.08.2008	GSE44336	GSM1083460	SRP018765	SRX243621	Park JH, et al. FEBS Lett. 2013	Park JH, Ahn S, Kim S, Lee J, Nam JW, Shin C. Degradome sequencing reveals an endogenous microRNA target in C. elegans. FEBS Lett. 2013 Apr 2;587(7):964-9.	23485825	Degradome sequencing reveals an endogenous microRNA target in C. elegans
DECEL0003	N2_wild_type_adult_0802_merge_miRNAsites_final.txt	nematode	Caenorhabditis elegans	worm	cel	ce11	PARE	whole organ	Wild-type (N2), adult stage, 02.14.2008	GSE44336	GSM1083461	SRP018765	SRX243622	Park JH, et al. FEBS Lett. 2013	Park JH, Ahn S, Kim S, Lee J, Nam JW, Shin C. Degradome sequencing reveals an endogenous microRNA target in C. elegans. FEBS Lett. 2013 Apr 2;587(7):964-9.	23485825	Degradome sequencing reveals an endogenous microRNA target in C. elegans
DEGMA0001	Heinong44_seed_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_V1.0	PARE	seed	Heinong44, 15 days after flowering	GSE25260	GSM647200	SRP004444	SRX037167	Song QX, et al. BMC Plant Biol. 2011	Song QX, Liu YF, Hu XY, Zhang WK et al. Identification of miRNAs and their target genes in developing soybean seeds by deep sequencing. BMC Plant Biol. 2011 Jan 10;11:5.	21219599	Identification of miRNAs and their target genes in developing soybean seeds by deep sequencing
DEGMA0002	Williams_82_mixed_tissue_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_v1.0	PARE	mixed tissues	Williams 82,  root, stem, leaf, and inflorescence	GSE33379	GSM825574	SRP009197	SRX104379	Hu Z, et al. J Integr Plant Biol. 2013	Hu Z, Jiang Q, Ni Z, Chen R, Xu S, Zhang H. Analyses of a Glycine max degradome library identify microRNA targets and microRNAs that trigger secondary siRNA biogenesis. J Integr Plant Biol. 2013 Feb;55(2):160-76.	23131131	Analyses of a Glycine max degradome library identify microRNA targets and microRNAs that trigger secondary siRNA biogenesis
DEGMA0003	Williams_cotyledon_EM_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_v1.0	PARE	cotyledon	Williams, early maturation green 25-50 mg	GSE34433	GSM848963	SRP009822	SRX111371	Shamimuzzaman M, et al. BMC Genomics 2012	Shamimuzzaman M, Vodkin L. Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing. BMC Genomics 2012 Jul 16;13:310.	22799740	Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing
DEGMA0004	Williams_seedcoat_EM_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_v1.0	PARE	seed coat	Williams, early maturation green 25-50 mg	GSE34433	GSM848964	SRP009822	SRX111372	Shamimuzzaman M, et al. BMC Genomics 2012	Shamimuzzaman M, Vodkin L. Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing. BMC Genomics 2012 Jul 16;13:310.	22799740	Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing
DEGMA0005	Williams_cotyledon_MM_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_v1.0	PARE	cotyledon	Williams, mid maturation yellow-green 100-200 mg	GSE34433	GSM848965	SRP009822	SRX111373	Shamimuzzaman M, et al. BMC Genomics 2012	Shamimuzzaman M, Vodkin L. Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing. BMC Genomics 2012 Jul 16;13:310.	22799740	Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing
DEGMA0006	Williams_seedcoat_MM_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_v1.0	PARE	seed coat	Williams, mid maturation yellow-green 100-200 mg	GSE34433	GSM848966	SRP009822	SRX111374	Shamimuzzaman M, et al. BMC Genomics 2012	Shamimuzzaman M, Vodkin L. Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing. BMC Genomics 2012 Jul 16;13:310.	22799740	Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing
DEGMA0007	Williams_cotyledon_LM_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_v1.0	PARE	cotyledon	Williams, late maturation yellow 300-400 mg	GSE34433	GSM848967	SRP009822	SRX111375	Shamimuzzaman M, et al. BMC Genomics 2012	Shamimuzzaman M, Vodkin L. Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing. BMC Genomics 2012 Jul 16;13:310.	22799740	Identification of soybean seed developmental stage-specific and tissue-specific miRNA targets by degradome sequencing
DEGMA0008	hydroponics_root_merge_miRNAsites_final.txt	eudicots	Glycine max	G. max	gma	Glycine_max_V1.0	GMUCT	root	hydroponics, 0 μM and 22.24 μM	GSE50063	GSM1213430	SRP028962	SRX337545	Fang X, et al. PLoS One. 2013	Fang X, Zhao Y, Ma Q, Huang Y, Wang P, Zhang J, Nian H, Yang C. Identification and comparative analysis of cadmium tolerance-associated miRNAs and their targets in two soybean genotypes. PLoS One. 2013 Dec 10;8(12):e81471.	24363811	Identification and comparative analysis of cadmium tolerance-associated miRNAs and their targets in two soybean genotypes
DEGSO0001	BW69_root_Al-free_merge_miRNAsites_final.txt	eudicots	Glycine soja	G. soja	gso	Glycine_soja_V1.0	PARE	root	BW69, AlCl3 free	GSE38065	GSM933345	SRP013267	SRX148737	Zeng QY, et al. BMC Plant Biol. 2012	Zeng QY, Yang CY, Ma QB, Li XP, Dong WW, Nian H. Identification of wild soybean miRNAs and their target genes responsive to aluminum stress. BMC Plant Biol. 2012 Oct 5;12:182.	23040172	Identification of wild soybean miRNAs and their target genes responsive to aluminum stress
DEGSO0002	BW69_root_Al-treated_merge_miRNAsites_final.txt	eudicots	Glycine soja	G. soja	gso	Glycine_soja_V1.0	PARE	root	BW69, AlCl3 treated	GSE38065	GSM933346	SRP013267	SRX148738	Zeng QY, et al. BMC Plant Biol. 2012	Zeng QY, Yang CY, Ma QB, Li XP, Dong WW, Nian H. Identification of wild soybean miRNAs and their target genes responsive to aluminum stress. BMC Plant Biol. 2012 Oct 5;12:182.	23040172	Identification of wild soybean miRNAs and their target genes responsive to aluminum stress
DEHSA0001	293S_rep1_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep1	GSE21975	GSM546438	SRP002543	SRX021439	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0002	293S_rep2_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep2	GSE21975	GSM546439	SRP002543	SRX021440	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0003	293S_rep3_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep3	GSE21975	GSM546440	SRP002543	SRX021441	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0004	293S_rep4_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep4	GSE21975	GSM546441	SRP002543	SRX021442	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0005	293S_rep5_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep5	GSE21975	GSM546442	SRP002543	SRX021443	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0006	293S_rep6_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep6	GSE21975	GSM546443	SRP002543	SRX021444	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0007	293S_rep7_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	293S	rep7	GSE21975	GSM546444	SRP002543	SRX021445	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEHSA0008	Hela_rep1_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	HeLa	RNAi for xrn-1, rep1	GSE22068	GSM548630	SRP002640	SRX022198	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0009	Hela_rep2_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	HeLa	RNAi for xrn-1, rep2	GSE22068	GSM548631	SRP002640	SRX022199	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0010	Hela_rep3_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	HeLa	RNAi for xrn-1, rep3	GSE22068	GSM548632	SRP002640	SRX022200	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0011	Hela_rep4_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	HeLa	RNAi for xrn-1, rep4	GSE22068	GSM548633	SRP002640	SRX022201	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0012	Hela_rep5_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	HeLa	RNAi for xrn-1, rep5	GSE22068	GSM548634	SRP002640	SRX022202	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0013	Brain_rep1_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	whole brain	rep1	GSE22068	GSM548635	SRP002640	SRX022203	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0014	Brain_rep2_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	whole brain	rep2	GSE22068	GSM548636	SRP002640	SRX022204	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
DEHSA0015	Brain_rep3_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	PARE	whole brain	rep3	GSE22068	GSM548637	SRP002640	SRX022205	Shin C, et al. Mol Cell 2010	Shin C, Nam JW, Farh KK, Chiang HR et al. Expanding the microRNA targeting code: functional sites with centered pairing. Mol Cell 2010 Jun 25;38(6):789-802.	20620952	Expanding the microRNA targeting code: functional sites with centered pairing
