datasetID	Species	SeqType	GeneSymbol	CellTissue	Description	Source	MainAccession	SubAccession	Assembly	CitationForShort	Citation	PubMedID	Title
SBDH42	Homo sapiens	HITS-CLIP	ELAVL1	HEK293	completeT1	GEO	GSE28859	GSE28859	hg19	Kishore S, et al. Nat Methods 2011 	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH43	Homo sapiens	PAR-CLIP	AGO2	HEK293	repeat 1, completeT1	GEO	GSE28859	GSM714644	hg19	Kishore S, et al. Nat Methods 2011	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH44	Homo sapiens	PAR-CLIP	AGO2	HEK293	repeat 2, completeT1	GEO	GSE28859	GSM714645	hg19	Kishore S, et al. Nat Methods 2011	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH45	Homo sapiens	PAR-CLIP	AGO2	HEK293	repeat 1, mildMNase	GEO	GSE28859	GSM714646	hg19	Kishore S, et al. Nat Methods 2011	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH46	Homo sapiens	PAR-CLIP	AGO2	HEK293	repeat 2, mildMNase	GEO	GSE28859	GSM714647	hg19	Kishore S, et al. Nat Methods 2011	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH47	Homo sapiens	PAR-CLIP	ELAVL1	HEK293	completeT1	GEO	GSE28859	GSE28859	hg19	Kishore S, et al. Nat Methods 2011 	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH48	Homo sapiens	PAR-CLIP	ELAVL1	HEK293	mildMNase	GEO	GSE28859	GSE28859	hg19	Kishore S, et al. Nat Methods 2011 	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH49	Homo sapiens	PAR-CLIP	ELAVL1	HEK293	4-thiouridine, RNase T1	GEO	GSE29779	GSM738185	hg19	Mukherjee N, et al. Mol Cell 2011	Mukherjee N, Corcoran DL, Nusbaum JD, Reid DW et al. Integrative regulatory mapping indicates that the RNA-binding protein HuR couples pre-mRNA processing and mRNA stability. Mol Cell 2011 Aug 5;43(3):327-39	21723170	Integrative regulatory mapping indicates that the RNA-binding protein HuR couples pre-mRNA processing and mRNA stability
SBDH50	Homo sapiens	PAR-CLIP	ELAVL1	HeLa	DMEM medium, 4-thiouridine	GEO	GSE29943	GSM741173	hg18	Lebedeva S, et al. Mol Cell 2011	Lebedeva S, Jens M, Theil K, Schwanhäusser B et al. Transcriptome-wide analysis of regulatory interactions of the RNA-binding protein HuR. Mol Cell 2011 Aug 5;43(3):340-52	21723171	Transcriptome-wide analysis of regulatory interactions of the RNA-binding protein HuR
SBDH51	Homo sapiens	PAR-CLIP	ELAVL1	HeLa	SILAC medium, 4-thiouridine	GEO	GSE29943	GSM741174	hg18	Lebedeva S, et al. Mol Cell 2011	Lebedeva S, Jens M, Theil K, Schwanhäusser B et al. Transcriptome-wide analysis of regulatory interactions of the RNA-binding protein HuR. Mol Cell 2011 Aug 5;43(3):340-52	21723171	Transcriptome-wide analysis of regulatory interactions of the RNA-binding protein HuR
SBDH52	Homo sapiens	PAR-CLIP	ELAVL1	HeLa	SILAC medium, 6-thioguanosine	GEO	GSE29943	GSM741175	hg18	Lebedeva S, et al. Mol Cell 2011	Lebedeva S, Jens M, Theil K, Schwanhäusser B et al. Transcriptome-wide analysis of regulatory interactions of the RNA-binding protein HuR. Mol Cell 2011 Aug 5;43(3):340-52	21723171	Transcriptome-wide analysis of regulatory interactions of the RNA-binding protein HuR
SBDH53	Homo sapiens	PAR-CLIP	AGO2	BC-1	KSHV-infected, 4-thiouridine, RNase T1	GEO	GSE32109	GSE32109	hg19	Gottwein E, et al. Cell Host Microbe 2011	Gottwein E, Corcoran DL, Mukherjee N, Skalsky RL, Hafner M, Nusbaum JD, Shamulailatpam P, Love CL, Dave SS, Tuschl T, Ohler U, Cullen BR. Viral microRNA targetome of KSHV-infected primary effusion lymphoma cell lines. Cell Host Microbe. 2011 Nov 17;10(5):515-26.	22100165	Viral microRNA targetome of KSHV-infected primary effusion lymphoma cell lines
SBDH54	Homo sapiens	PAR-CLIP	AGO2	BC-3	KSHV-infected, 4-thiouridine, RNase T1	GEO	GSE32109	GSE32109	hg19	Gottwein E, et al. Cell Host Microbe 2011	Gottwein E, Corcoran DL, Mukherjee N, Skalsky RL, Hafner M, Nusbaum JD, Shamulailatpam P, Love CL, Dave SS, Tuschl T, Ohler U, Cullen BR. Viral microRNA targetome of KSHV-infected primary effusion lymphoma cell lines. Cell Host Microbe. 2011 Nov 17;10(5):515-26.	22100165	Viral microRNA targetome of KSHV-infected primary effusion lymphoma cell lines
SBDH55	Homo sapiens	PAR-CLIP	PAPD5	HEK293	4-thiouridine and RNase T1	GEO	GSE36987	GSE36987	hg18	Rammelt C, et al. RNA 2011	Rammelt C, Bilen B, Zavolan M, Keller W. PAPD5, a noncanonical poly(A) polymerase with an unusual RNA-binding motif. RNA 2011 Sep;17(9):1737-46	21788334	PAPD5, a noncanonical poly(A) polymerase with an unusual RNA-binding motif
SBDH56	Homo sapiens	PAR-CLIP	MOV10	HEK293	4-thiouridine, doRiNA database	GEO	GSE37524	GSM921128	hg19	Sievers C, et al. Nucleic Acids Res 2012	Sievers C, Schlumpf T, Sawarkar R, Comoglio F, Paro R. Mixture models and wavelet transforms reveal high confidence RNA-protein interaction sites in MOV10 PAR-CLIP data. Nucleic Acids Res. 2012 Nov 1;40(20):e160.	22844102	Mixture models and wavelet transforms reveal high confidence RNA-protein interaction sites in MOV10 PAR-CLIP data
SBDH57	Homo sapiens	PAR-CLIP	ALKBH5	HEK293	repeat 2, 4-thiouridine	GEO	GSE38201	GSM936506	hg19	Baltz AG, et al. Mol Cell 2012	Baltz AG, Munschauer M, Schwanhäusser B, Vasile A, Murakawa Y, Schueler M, Youngs N, Penfold-Brown D, Drew K, Milek M, Wyler E, Bonneau R, Selbach M, Dieterich C, Landthaler M. The mRNA-bound proteome and its global occupancy profile on protein-coding transcripts. Mol Cell. 2012 Jun 8;46(5):674-90.	22681889	The mRNA-Bound Proteome and Its Global Occupancy Profile on Protein-Coding Transcripts
SBDH58	Homo sapiens	PAR-CLIP	NCBP3	HEK293	repeat 2, 4-thiouridine	GEO	GSE38201	GSM936507	hg19	Baltz AG, et al. Mol Cell 2012	Baltz AG, Munschauer M, Schwanhäusser B, Vasile A, Murakawa Y, Schueler M, Youngs N, Penfold-Brown D, Drew K, Milek M, Wyler E, Bonneau R, Selbach M, Dieterich C, Landthaler M. The mRNA-bound proteome and its global occupancy profile on protein-coding transcripts. Mol Cell. 2012 Jun 8;46(5):674-90.	22681889	The mRNA-Bound Proteome and Its Global Occupancy Profile on Protein-Coding Transcripts
SBDH59	Homo sapiens	PAR-CLIP	CAPRIN1	HEK293	repeat 2, 4-thiouridine	GEO	GSE38201	GSM936509	hg19	Baltz AG, et al. Mol Cell 2012	Baltz AG, Munschauer M, Schwanhäusser B, Vasile A, Murakawa Y, Schueler M, Youngs N, Penfold-Brown D, Drew K, Milek M, Wyler E, Bonneau R, Selbach M, Dieterich C, Landthaler M. The mRNA-bound proteome and its global occupancy profile on protein-coding transcripts. Mol Cell. 2012 Jun 8;46(5):674-90.	22681889	The mRNA-Bound Proteome and Its Global Occupancy Profile on Protein-Coding Transcripts
