dataSetId	Species	SeqType	GeneSymbol	CellTissue	Treatment	Source	MainAccession	Accession	FileName	Assembly	newFileName	CitationForShort	Citation	PubMedID	Title
SBDHR011	Homo sapiens	SPLASH	-	hESCs	Human RA PolyA Replicate 1	SRP	SRP073550	SRX1715486	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR012	Homo sapiens	SPLASH	-	hESCs	Human RA PolyA Replicate 2	SRP	SRP073550	SRX1715487	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR013	Homo sapiens	SPLASH	-	Lymphoblastoid	Biotinylated psoralen libraries replicate 1	SRP	SRP073550	SRX1715488	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR014	Homo sapiens	SPLASH	-	Lymphoblastoid	Biotinylated psoralen libraries replicate 2	SRP	SRP073550	SRX1715489	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR015	Homo sapiens	SPLASH	-	Lymphoblastoid	Psoralen libraries replicate 1	SRP	SRP073550	SRX1715490	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR016	Homo sapiens	SPLASH	-	Lymphoblastoid	Psoralen libraries replicate 2	SRP	SRP073550	SRX1715491	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR017	Homo sapiens	SPLASH	-	Lymphoblastoid	DMSO libraries replicate 1	SRP	SRP073550	SRX1715492	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR018	Homo sapiens	SPLASH	-	Lymphoblastoid	DMSO libraries replicate 2	SRP	SRP073550	SRX1715493	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR019	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells Total RNA Replicate 3	SRP	SRP073550	SRX1715494	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR020	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells Total RNA Replicate 4	SRP	SRP073550	SRX1715495	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR021	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells PolyA Replicate 1	SRP	SRP073550	SRX1715497	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR022	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells PolyA Replicate 2	SRP	SRP073550	SRX1715498	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR023	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells PolyA Replicate 3	SRP	SRP073550	SRX1715499	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR024	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells PolyA Replicate 4	SRP	SRP073550	SRX1715500	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR025	Homo sapiens	SPLASH	-	hESCs	Human ES PolyA Replicate 1	SRP	SRP073550	SRX1715501	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
