datasetID	Species	SeqType	GeneSymbol	CellTissue	Description	Source	MainAccession	SubAccession	Assembly	CitationForShort	Citation	PubMedID	Title
SBDM14	Mus musculus	HITS-CLIP	Mbnl2	hippocampus	C57BL/6 and 129 SvlmJ mixed, repeat 2	GEO	GSE38497	GSM1127542	mm9	Charizanis K, et al. Neuron 2012	Charizanis K, Lee KY, Batra R, Goodwin M, Zhang C, Yuan Y, Shiue L, Cline M, Scotti MM, Xia G, Kumar A, Ashizawa T, Clark HB, Kimura T, Takahashi MP, Fujimura H, Jinnai K, Yoshikawa H, Gomes-Pereira M, Gourdon G, Sakai N, Nishino S, Foster TC, Ares M Jr, Darnell RB, Swanson MS. Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy. Neuron. 2012 Aug 9;75(3):437-50.	22884328	Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy
SBDM15	Mus musculus	HITS-CLIP	Mbnl2	hippocampus	C57BL/6 and 129 SvlmJ mixed, repeat 3	GEO	GSE38497	GSM1127543	mm9	Charizanis K, et al. Neuron 2012	Charizanis K, Lee KY, Batra R, Goodwin M, Zhang C, Yuan Y, Shiue L, Cline M, Scotti MM, Xia G, Kumar A, Ashizawa T, Clark HB, Kimura T, Takahashi MP, Fujimura H, Jinnai K, Yoshikawa H, Gomes-Pereira M, Gourdon G, Sakai N, Nishino S, Foster TC, Ares M Jr, Darnell RB, Swanson MS. Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy. Neuron. 2012 Aug 9;75(3):437-50.	22884328	Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy
SBDM16	Mus musculus	HITS-CLIP	Mbnl1	brain	C56BL/6	GEO	GSE39911	GSM981226	mm9	Wang ET, et al. Cell 2012	Wang ET, Cody NA, Jog S, Biancolella M, Wang TT, Treacy DJ, Luo S, Schroth GP, Housman DE, Reddy S, Lécuyer E, Burge CB. Transcriptome-wide regulation of pre-mRNA splicing and mRNA localization by muscleblind proteins. Cell. 2012 Aug 17;150(4):710-24.	22901804	Transcriptome-wide Regulation of Pre-mRNA Splicing and mRNA Localization by Muscleblind Proteins
SBDM17	Mus musculus	HITS-CLIP	Mbnl1	brain	129SVJ	GEO	GSE39911	GSM981227	mm9	Wang ET, et al. Cell 2012	Wang ET, Cody NA, Jog S, Biancolella M, Wang TT, Treacy DJ, Luo S, Schroth GP, Housman DE, Reddy S, Lécuyer E, Burge CB. Transcriptome-wide regulation of pre-mRNA splicing and mRNA localization by muscleblind proteins. Cell. 2012 Aug 17;150(4):710-24.	22901804	Transcriptome-wide Regulation of Pre-mRNA Splicing and mRNA Localization by Muscleblind Proteins
SBDM18	Mus musculus	HITS-CLIP	Mbnl1	heart	C56BL/6	GEO	GSE39911	GSM981228	mm9	Wang ET, et al. Cell 2012	Wang ET, Cody NA, Jog S, Biancolella M, Wang TT, Treacy DJ, Luo S, Schroth GP, Housman DE, Reddy S, Lécuyer E, Burge CB. Transcriptome-wide regulation of pre-mRNA splicing and mRNA localization by muscleblind proteins. Cell. 2012 Aug 17;150(4):710-24.	22901804	Transcriptome-wide Regulation of Pre-mRNA Splicing and mRNA Localization by Muscleblind Proteins
SBDM19	Mus musculus	HITS-CLIP	Mbnl1	muscle	C56BL/6	GEO	GSE39911	GSM981229	mm9	Wang ET, et al. Cell 2012	Wang ET, Cody NA, Jog S, Biancolella M, Wang TT, Treacy DJ, Luo S, Schroth GP, Housman DE, Reddy S, Lécuyer E, Burge CB. Transcriptome-wide regulation of pre-mRNA splicing and mRNA localization by muscleblind proteins. Cell. 2012 Aug 17;150(4):710-24.	22901804	Transcriptome-wide Regulation of Pre-mRNA Splicing and mRNA Localization by Muscleblind Proteins
SBDM20	Mus musculus	HITS-CLIP	Mbnl1	C2C12	None	GEO	GSE39911	GSM981230	mm9	Wang ET, et al. Cell 2012	Wang ET, Cody NA, Jog S, Biancolella M, Wang TT, Treacy DJ, Luo S, Schroth GP, Housman DE, Reddy S, Lécuyer E, Burge CB. Transcriptome-wide regulation of pre-mRNA splicing and mRNA localization by muscleblind proteins. Cell. 2012 Aug 17;150(4):710-24.	22901804	Transcriptome-wide Regulation of Pre-mRNA Splicing and mRNA Localization by Muscleblind Proteins
SBDM21	Mus musculus	HITS-CLIP	Ago2	CD4-T-cells	C57BL/6, WT vs miR-155 KO	GEO	GSE41285	GSE41285	mm9	Loeb GB, et al. Mol Cell 2012	Loeb GB, Khan AA, Canner D, Hiatt JB, Shendure J, Darnell RB, Leslie CS, Rudensky AY. Transcriptome-wide miR-155 binding map reveals widespread noncanonical microRNA targeting. Mol Cell. 2012 Dec 14;48(5):760-70.	23142080	Transcriptome-wide miR-155 binding map reveals widespread noncanonical microRNA targeting
SBDM22	Mus musculus	HITS-CLIP	Taf15	EDNCs	ES-derived neuronal cells, Dnase I and RNase T1, rep1	GEO	GSE43294	GSM1060210	mm9	Ibrahim F, et al. Cell Rep 2013	Ibrahim F, Maragkakis M, Alexiou P, Maronski MA et al. Identification of in vivo, conserved, TAF15 RNA binding sites reveals the impact of TAF15 on the neuronal transcriptome. Cell Rep 2013 Feb 21;3(2):301-8	23416048	Identification of in vivo, conserved, TAF15 RNA binding sites reveals the impact of TAF15 on the neuronal transcriptome
SBDM23	Mus musculus	HITS-CLIP	Taf15	EDNCs	ES-derived neuronal cells, Dnase I and RNase T1, rep2	GEO	GSE43294	GSM1060211	mm9	Ibrahim F, et al. Cell Rep 2013	Ibrahim F, Maragkakis M, Alexiou P, Maronski MA et al. Identification of in vivo, conserved, TAF15 RNA binding sites reveals the impact of TAF15 on the neuronal transcriptome. Cell Rep 2013 Feb 21;3(2):301-8	23416048	Identification of in vivo, conserved, TAF15 RNA binding sites reveals the impact of TAF15 on the neuronal transcriptome
SBDM24	Mus musculus	HITS-CLIP	Fus	EDNCs	ES-derived neuronal cells, Hlbx9-GFP+, Dnase I and RNase T1, rep1	GEO	GSE43308	GSM1060384	mm9	Nakaya T, et al. RNA 2013	Nakaya T, Alexiou P, Maragkakis M, Chang A, Mourelatos Z. FUS regulates genes coding for RNA-binding proteins in neurons by binding to their highly conserved introns. RNA. 2013 Apr;19(4):498-509.	23389473	FUS regulates genes coding for RNA-binding proteins in neurons by binding to their highly conserved introns
SBDM25	Mus musculus	HITS-CLIP	Fus	EDNCs	ES-derived neuronal cells, Hlbx9-GFP+, Dnase I and RNase T1, rep2	GEO	GSE43308	GSM1060385	mm9	Nakaya T, et al. RNA 2013	Nakaya T, Alexiou P, Maragkakis M, Chang A, Mourelatos Z. FUS regulates genes coding for RNA-binding proteins in neurons by binding to their highly conserved introns. RNA. 2013 Apr;19(4):498-509.	23389473	FUS regulates genes coding for RNA-binding proteins in neurons by binding to their highly conserved introns
SBDM26	Mus musculus	HITS-CLIP	Srsf1	MEF	Mouse embryonic fibroblasts, SRSF1 tet-repressible	GEO	GSE44591	GSM1088390	mm9	Pandit S, et al. Mol Cell 2013	Pandit S, Zhou Y, Shiue L, Coutinho-Mansfield G, Li H, Qiu J, Huang J, Yeo GW, Ares M Jr, Fu XD. Genome-wide analysis reveals SR protein cooperation and competition in regulated splicing. Mol Cell. 2013 Apr 25;50(2):223-35.	23562324	Genome-wide Analysis Reveals SR Protein Cooperation and Competition in Regulated Splicing
SBDM27	Mus musculus	HITS-CLIP	Srsf2	MEF	Mouse embryonic fibroblasts, SRSF2 tet-repressible	GEO	GSE44591	GSM1088391	mm9	Pandit S, et al. Mol Cell 2013	Pandit S, Zhou Y, Shiue L, Coutinho-Mansfield G, Li H, Qiu J, Huang J, Yeo GW, Ares M Jr, Fu XD. Genome-wide analysis reveals SR protein cooperation and competition in regulated splicing. Mol Cell. 2013 Apr 25;50(2):223-35.	23562324	Genome-wide Analysis Reveals SR Protein Cooperation and Competition in Regulated Splicing
SBDM28	Mus musculus	HITS-CLIP	Ago2	mesencymal-stem-cell	DNase and RNase I	GEO	GSE45828	GSM1116239	mm9	Gurtan AM, et al. Genes Dev 2013	Gurtan AM, Ravi A, Rahl PB, Bosson AD et al. Let-7 represses Nr6a1 and a mid-gestation developmental program in adult fibroblasts. Genes Dev 2013 Apr 15;27(8):941-54	23630078	Let-7 represses Nr6a1 and a mid-gestation developmental program in adult fibroblasts
SBDM29	Mus musculus	HITS-CLIP	Ptbp2	embryonic-cortex	brain	GEO	GSE47564	GSE47564	mm9	Licatalosi DD, et al. Genes Dev 2012	Licatalosi DD, Yano M, Fak JJ, Mele A, Grabinski SE, Zhang C, Darnell RB. Ptbp2 represses adult-specific splicing to regulate the generation of neuronal precursors in the embryonic brain. Genes Dev. 2012 Jul 15;26(14):1626-42.	22802532	Ptbp2 represses adult-specific splicing to regulate the generation of neuronal precursors in the embryonic brain
SBDM30	Mus musculus	HITS-CLIP	Mbnl1	MEF	C57J/BL-6 - 129 mix, A301-358A, DKO	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM31	Mus musculus	HITS-CLIP	Mbnl1	MEF	C57J/BL-6 - 129 mix, A301-358A, wild type	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM32	Mus musculus	HITS-CLIP	Mbnl1	MEF	C57J/BL-6 - 129 mix, A2764, wild type	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM33	Mus musculus	HITS-CLIP	Mbnl1	MEF	C57J/BL-6 - 129 mix, 3B4, wild type	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM34	Mus musculus	HITS-CLIP	Mbnl1	MEF	C57J/BL-6 - 129 mix, affinity purified Rabbit polyclonal Mbnl3, wild type	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM35	Mus musculus	HITS-CLIP	Mbnl1	MEF	C57J/BL-6 - 129 mix, A301-358A, Mbnl1/2 KO	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM36	Mus musculus	HITS-CLIP	Mbnl1	Quadriceps	FVB, A2764, wild type	GEO	GSE60487	GSE60487	mm9	Batra R, et al. Mol Cell 2014 	Batra R, Charizanis K, Manchanda M, Mohan A et al. Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease. Mol Cell 2014 Oct 23;56(2):311-22. 	25263597	Loss of MBNL leads to disruption of developmentally regulated alternative polyadenylation in RNA-mediated disease
SBDM37	Mus musculus	HITS-CLIP	Celf1	C2C12	myoblast, anti-cugbp1 antibody clone 3B1	GEO	GSE61892	GSM1516650	mm9	Wang ET, et al. Genome Res. 2015	Wang ET, Ward AJ, Cherone JM, Giudice J, Wang TT, Treacy DJ, Lambert NJ, Freese P, Saxena T, Cooper TA, Burge CB. Antagonistic regulation of mRNA expression and splicing by CELF and MBNL proteins. Genome Res. 2015 Jun;25(6):858-71.	25883322	Antagonistic regulation of mRNA expression and splicing by CELF and MBNL proteins
SBDM38	Mus musculus	HITS-CLIP	Celf1	heart	anti-cugbp1 antibody clone 3B1	GEO	GSE61892	GSM1516651	mm9	Wang ET, et al. Genome Res. 2015	Wang ET, Ward AJ, Cherone JM, Giudice J, Wang TT, Treacy DJ, Lambert NJ, Freese P, Saxena T, Cooper TA, Burge CB. Antagonistic regulation of mRNA expression and splicing by CELF and MBNL proteins. Genome Res. 2015 Jun;25(6):858-71.	25883322	Antagonistic regulation of mRNA expression and splicing by CELF and MBNL proteins
SBDM39	Mus musculus	HITS-CLIP	Celf1	muscle	anti-cugbp1 antibody clone 3B1	GEO	GSE61892	GSM1516652	mm9	Wang ET, et al. Genome Res. 2015	Wang ET, Ward AJ, Cherone JM, Giudice J, Wang TT, Treacy DJ, Lambert NJ, Freese P, Saxena T, Cooper TA, Burge CB. Antagonistic regulation of mRNA expression and splicing by CELF and MBNL proteins. Genome Res. 2015 Jun;25(6):858-71.	25883322	Antagonistic regulation of mRNA expression and splicing by CELF and MBNL proteins
SBDM40	Mus musculus	iCLIP	Rbfox2	V6.5EScells	doxycycline, tag, RNase I	GEO	GSE54794	GSM1324105	mm9	Jangi M, et al. Genes Dev 2014	Jangi M, Boutz PL, Paul P, Sharp PA. Rbfox2 controls autoregulation in RNA-binding protein networks. Genes Dev 2014 Mar 15;28(6):637-51	24637117	Rbfox2 controls autoregulation in RNA-binding protein networks
SBDM41	Mus musculus	iCLIP	Ago2	mESC	TT-FHAgo2, Tagged, Rnase I platform	GEO	GSE61347	GSE61347	mm9	Bosson AD, et al. Mol Cell 2014	Bosson AD, Zamudio JR, Sharp PA. Endogenous miRNA and Target Concentrations Determine Susceptibility to Potential ceRNA Competition. Mol Cell2014 Nov 6;56(3):347-59.	25449132	Endogenous miRNA and Target Concentrations Determine Susceptibility to Potential ceRNA Competition
SBDM42	Mus musculus	PAR-CLIP	Cirbp	MEF	4-thiouridine	GEO	GSE40468	GSM994702	mm9	Liu Y, et al. Sci Rep 2013	Liu Y, Hu W, Murakawa Y, Yin J, Wang G, Landthaler M, Yan J. Cold-induced RNA-binding proteins regulate circadian gene expression by controlling alternative polyadenylation. Sci Rep. 2013;3:2054.	23792593	Cold-induced RNA-binding proteins regulate circadian gene expression by controlling alternative polyadenylation
SBDM43	Mus musculus	PAR-CLIP	Rbm3	MEF	4-thiouridine	GEO	GSE40468	GSM994703	mm9	Liu Y, et al. Sci Rep 2013	Liu Y, Hu W, Murakawa Y, Yin J, Wang G, Landthaler M, Yan J. Cold-induced RNA-binding proteins regulate circadian gene expression by controlling alternative polyadenylation. Sci Rep. 2013;3:2054.	23792593	Cold-induced RNA-binding proteins regulate circadian gene expression by controlling alternative polyadenylation
SBDM44	Mus musculus	PAR-CLIP	Ezh2	E14	4-thiouridine, no limited RNase	GEO	GSE48517	GSE48517	mm9	Kaneko S, et al. Mol Cell 2014	Kaneko S, Bonasio R, Saldaña-Meyer R, Yoshida T et al. Interactions between JARID2 and noncoding RNAs regulate PRC2 recruitment to chromatin. Mol Cell 2014 Jan 23;53(2):290-300	24374312	Interactions between JARID2 and noncoding RNAs regulate PRC2 recruitment to chromatin
SBDM45	Mus musculus	PAR-CLIP	Jarid2	E14	4-thiouridine, no limited RNase	GEO	GSE48517	GSE48517	mm9	Kaneko S, et al. Mol Cell 2014	Kaneko S, Bonasio R, Saldaña-Meyer R, Yoshida T et al. Interactions between JARID2 and noncoding RNAs regulate PRC2 recruitment to chromatin. Mol Cell 2014 Jan 23;53(2):290-300	24374312	Interactions between JARID2 and noncoding RNAs regulate PRC2 recruitment to chromatin
SBDM46	Mus musculus	PAR-CLIP	Ezh2	E14	4-thiouridine and RNase A+T1	GEO	GSE49433	GSE49433	mm9	Kaneko S, et al. Nat Struct Mol Biol 2013	Kaneko S, Son J, Shen SS, Reinberg D et al. PRC2 binds active promoters and contacts nascent RNAs in embryonic stem cells. Nat Struct Mol Biol 2013 Nov;20(11):1258-64	24141703	PRC2 binds active promoters and contacts nascent RNAs in embryonic stem cells
SBDM47	Mus musculus	PAR-CLIP	Jarid2	E14	PC-11, 4-SU, 312 nm, repeat1, control	GEO	GSE60516	GSE60516	mm9	Kaneko S, et al. Genes Dev 2014	Kaneko S, Son J, Bonasio R, Shen SS et al. Nascent RNA interaction keeps PRC2 activity poised and in check. Genes Dev 2014 Sep 15;28(18):1983-8. 	25170018	Nascent RNA interaction keeps PRC2 activity poised and in check
SBDM48	Mus musculus	PAR-CLIP	Jarid2	E14	PC-11, 4-SU, 2 μM RA, 24 hrs, 312 nm	GEO	GSE60516	GSE60516	mm9	Kaneko S, et al. Genes Dev 2014	Kaneko S, Son J, Bonasio R, Shen SS et al. Nascent RNA interaction keeps PRC2 activity poised and in check. Genes Dev 2014 Sep 15;28(18):1983-8. 	25170018	Nascent RNA interaction keeps PRC2 activity poised and in check
SBDM49	Mus musculus	PAR-CLIP	Ago2	BMDM	Bone marrow derived macrophage, ELAVL1 f/f, C57BL/6	GEO	GSE63199	GSM1543768	mm9	Lu YC, et al. Cell Rep 2014	Lu YC, Chang SH, Hafner M, Li X et al. ELAVL1 modulates transcriptome-wide miRNA binding in murine macrophages. Cell Rep 2014 Dec 24;9(6):2330-43. 	25533351	ELAVL1 modulates transcriptome-wide miRNA binding in murine macrophages
SBDM50	Mus musculus	PAR-CLIP	Ago2	BMDM	Bone marrow derived macrophage,ELAVL1f/f, LysM-Cre, C57BL/6	GEO	GSE63199	GSM1543769	mm9	Lu YC, et al. Cell Rep 2014	Lu YC, Chang SH, Hafner M, Li X et al. ELAVL1 modulates transcriptome-wide miRNA binding in murine macrophages. Cell Rep 2014 Dec 24;9(6):2330-43. 	25533351	ELAVL1 modulates transcriptome-wide miRNA binding in murine macrophages
SBDM51	Mus musculus	CLIP-seq	Pabpc1	MEL 	None	GEO	GSE69755	GSE69755	mm10	Kini HK, et al. RNA 2016	Kini HK, Silverman IM, Ji X, Gregory BD et al. Cytoplasmic poly(A) binding protein-1 binds to genomically encoded sequences within mammalian mRNAs. RNA 2016 Jan;22(1):61-74.	26554031	CLIP-seq analysis of cytoplasmic poly(A) binding protein-1 reveals binding to genomically encoded sequences within mammalian mRNAs
SBDM52	Mus musculus	iCLIP	Ptbp1	mESC	None	GEO	GSE71178	GSE71178	mm9	Linares AJ, et al. Elife 2015	Linares AJ, Lin CH, Damianov A, Adams KL et al. The splicing regulator PTBP1 controls the activity of the transcription factor Pbx1 during neuronal differentiation. Elife 2015 Dec 24;4.	26705333	Ptpb1 iCLIP in 46C mESCs and mNPCs
SBDM53	Mus musculus	iCLIP	Ptbp1	mNPC	None	GEO	GSE71178	GSE71178	mm9	Linares AJ, et al. Elife 2015	Linares AJ, Lin CH, Damianov A, Adams KL et al. The splicing regulator PTBP1 controls the activity of the transcription factor Pbx1 during neuronal differentiation. Elife 2015 Dec 24;4.	26705333	Ptpb1 iCLIP in 46C mESCs and mNPCs
SBDM54	Mus musculus	iCLIP	Suz12	mESC	Plus Tamoxifen, Suz12 KO	GEO	GSE66829	GSE66829	mm9	Beltran M, et al. Genome Res 2016	Beltran M, Yates CM, Skalska L, Dawson M et al. The interaction of PRC2 with RNA or chromatin is mutually antagonistic. Genome Res 2016 Jul;26(7):896-907.	27197219	The interaction of PRC2 with RNA or chromatin is mutually antagonistic
SBDM55	Mus musculus	iCLIP	Suz12	mESC	Plus Tamoxifen, Ezh2 KO; No Tamoxifen, Ezh2 wild type	GEO	GSE66829	GSE66829	mm9	Beltran M, et al. Genome Res 2016	Beltran M, Yates CM, Skalska L, Dawson M et al. The interaction of PRC2 with RNA or chromatin is mutually antagonistic. Genome Res 2016 Jul;26(7):896-907.	27197219	The interaction of PRC2 with RNA or chromatin is mutually antagonistic
SBDM56	Mus musculus	iCLIP	Suz12	mESC	No Tamoxifen, Ezh2 wild type	GEO	GSE66829	GSE66829	mm9	Beltran M, et al. Genome Res 2016	Beltran M, Yates CM, Skalska L, Dawson M et al. The interaction of PRC2 with RNA or chromatin is mutually antagonistic. Genome Res 2016 Jul;26(7):896-907.	27197219	The interaction of PRC2 with RNA or chromatin is mutually antagonistic
